'Page Number,'Type,'Text,'Confidence Score % (Line)
'1,'LINE,'Revenue Statement,'99.94331360
'1,'LINE,'Owner,'99.93807983
'1,'LINE,'Operator,'99.91423798
'1,'LINE,'Check,'99.38725281
'1,'LINE,12345678901,'99.88643646
'1,'LINE,'HESS BAKKEN INVESTMENTS II LLC,'95.21317291
'1,'LINE,'Check Number,'99.72246552
'1,'LINE,E420039,'99.79012299
'1,'LINE,Acme Business,'97.96868134
'1,'LINE,'P.O. BOX 732282,'99.30457306
'1,'LINE,'Check Amount,'99.45886993
'1,'LINE,'301.45,'99.33818817
'1,'LINE,434 Main Street,'99.83193970
'1,'LINE,"'DENVER, CO 80265",'98.23870850
'1,'LINE,'Check Date,'97.86942291
'1,'LINE,"'September 25, 2022",'99.63977814
'1,'LINE,"Boulder, CO 94118",'91.31939697
'1,'LINE,'1-844-275-4377,'99.71707916
'1,'LINE,'ask@hess.com,'99.85627747
'1,'LINE,'Copyright Notice,'99.79642487
'1,'LINE,'© 2023 Enverus. All rights reserved. Unauthorized use prohibited.,'95.80667877
'1,'LINE,"'Data, reports, user interface, software and other content which is accessed by users through EnergyLink constitutes copyright protected content owned by Enverus. Any unauthorized copying, scraping, downloading,",'99.56204224
'1,'LINE,"'retransmission, redistribution, reproduction, republishing or other duplication or modification of copyright protected content is a violation of Canadian and US federal copyright laws and may be subject to legal action. Other than",'99.69941711
'1,'LINE,"'PDF copies for use in an unmodified format by authorized users, no one has permission to copy, scrape, download, retransmit, redistribute, reproduce, republish, duplicate, modify or make public for commercial use this copyright",'99.30667877
'1,'LINE,"'protected content, in any form, without the express written permission of Enverus.",'99.69361115
'1,'LINE,'Property Values,'99.85893250
'1,'LINE,'Owner Share,'99.81934357
'1,'LINE,'Production,'99.84102631
'1,'LINE,'Owner,'99.94709015
'1,'LINE,'Distribution,'99.81855011
'1,'LINE,'Type,'99.91615295
'1,'LINE,'BTU,'99.90775299
'1,'LINE,'Volume,'99.57701111
'1,'LINE,'Price,'99.84957886
'1,'LINE,'Value,'99.91915131
'1,'LINE,'Volume,'99.71086121
'1,'LINE,'Value,'99.90760803
'1,'LINE,'Date,'99.90560150
'1,'LINE,'Interest,'99.69370270
'1,'LINE,'Interest,'99.80334473
'1,'LINE,'Property:,'99.82435608
'1,'LINE,'173902049,'99.57952881
'1,'LINE,"'TIOGA MADISON UNIT TR-0073, State: ND, County: WILLIAMS",'99.35345459
'1,'LINE,'OIL,'99.96186066
'1,'LINE,'ROYALTY INTEREST,'99.85913849
'1,'LINE,'Apr 22,'99.34950256
'1,'LINE,'(0.16),'99.85266113
'1,'LINE,'107.71,'99.93867493
'1,'LINE,'(16.91),'99.79706573
'1,'LINE,'0.00033797,'92.93209839
'1,'LINE,'0.00033797,'91.76702881
'1,'LINE,'0.00,'86.49784851
'1,'LINE,'(0.01),'99.95146179
'1,'LINE,'Producer Deducts: -1.79; Net Price After Deducts: 96.31; Net Price: 91.46; Taxes: -0.76; Net Value: -14.36; Owner Net Value After Ded: -0.01; Owner Net Value: -0.01; PPA: Volume Change,'98.40729523
'1,'LINE,'PRODUCTION TAX,'99.62947083
'1,'LINE,'Apr 22,'99.86662292
'1,'LINE,'0.76,'96.43658447
'1,'LINE,'0.00033797,'95.41918182
'1,'LINE,'0.00033797,'96.91912079
'1,'LINE,'0.00,'93.70291138
'1,'LINE,'ROYALTY INTEREST,'99.85488892
'1,'LINE,'Apr 22,'99.63339233
'1,'LINE,'(0.16),'99.91318512
'1,'LINE,'107.71,'99.15887451
'1,'LINE,'(16.91),'99.84361267
'1,'LINE,'0.00036871,'95.06642151
'1,'LINE,'0.00036871,'98.00026703
'1,'LINE,'0.00,'96.35221863
'1,'LINE,'(0.01),'99.92642212
'1,'LINE,'Producer Deducts: -1.79; Net Price After Deducts: 96.31; Net Price: 91.46; Taxes: -0.76; Net Value: -14.36; Owner Net Value After Ded: -0.01; Owner Net Value: -0.01; PPA: Volume Change,'98.23718262
'1,'LINE,'PRODUCTION TAX,'99.77999115
'1,'LINE,'Apr 22,'99.48694611
'1,'LINE,'0.76,'98.59671021
'1,'LINE,'0.00036871,'96.62482452
'1,'LINE,'0.00036871,'94.73836517
'1,'LINE,'0.00,'99.25276947
'1,'LINE,'WORKING INTEREST,'99.89164734
'1,'LINE,'Mar 22,'99.82376862
'1,'LINE,'(0.15),'99.94354248
'1,'LINE,'100.60,'99.93964386
'1,'LINE,'(15.19),'99.71480560
'1,'LINE,'0.00236578,'98.31941986
'1,'LINE,'0.00236578,'97.20481873
'1,'LINE,'0.00,'82.82997894
'1,'LINE,'(0.03),'99.96668243
'1,'LINE,"'Producer Deducts: -0.04; Net Price After Deducts: 100.33; Net Price: 91.06; Taxes: -1.40; Net Value: -13.75; Owner Net Value After Ded: -0.03; Owner Net Value: -0.03; PPA: Volume Change, Price",'97.73015594
'1,'LINE,'Change,'99.80085754
'1,'LINE,'PRODUCTION TAX,'99.63135529
'1,'LINE,'Mar 22,'99.80809021
'1,'LINE,'1.40,'99.73851776
'1,'LINE,'0.00236578,'97.52091980
'1,'LINE,'0.00236578,'98.56124115
'1,'LINE,'0.00,'86.34360504
'1,'LINE,'WORKING INTEREST,'99.87605286
'1,'LINE,'Apr 22,'99.53555298
'1,'LINE,'(0.04),'99.98454285
'1,'LINE,'107.38,'97.37110901
'1,'LINE,'(4.51),'99.86537933
'1,'LINE,'0.00236578,'95.31647491
'1,'LINE,'0.00236578,'98.33081055
'1,'LINE,'0.00,'93.58963013
'1,'LINE,'(0.01),'99.92095947
'1,'LINE,'Producer Deducts: -0.48; Net Price After Deducts: 95.95; Net Price: 91.19; Taxes: -0.20; Net Value: -3.83; Owner Net Value After Ded: -0.01; Owner Net Value: -0.01; PPA: Volume Change,'97.67369843
'1,'LINE,'PRODUCTION TAX,'99.23730469
'1,'LINE,'Apr 22,'99.81958771
'1,'LINE,'0.20,'92.85494995
'1,'LINE,'0.00236578,'96.71004486
'1,'LINE,'0.00236578,'98.88846588
'1,'LINE,'0.00,'99.51669312
'1,'LINE,'WORKING INTEREST,'99.82835388
'1,'LINE,'Jun 22,'99.68486023
'1,'LINE,'(0.04),'99.98545074
'1,'LINE,'116.34,'94.89138794
'1,'LINE,'(4.77),'99.88385010
'1,'LINE,'0.00236578,'94.82850647
'1,'LINE,'0.00236578,'97.30744934
'1,'LINE,'0.00,'76.83670807
'1,'LINE,'(0.01),'99.91237640
'1,'LINE,'Producer Deducts: -0.46; Net Price After Deducts: 105.12; Net Price: 99.76; Taxes: -0.22; Net Value: -4.09; Owner Net Value After Ded: -0.01; Owner Net Value: -0.01; PPA: Volume Change,'97.59133148
'1,'LINE,'PRODUCTION TAX,'99.22843170
'1,'LINE,'Jun 22,'99.77470398
'1,'LINE,'0.22,'96.74171448
'1,'LINE,'0.00236578,'95.47661591
'1,'LINE,'0.00236578,'97.63603973
'1,'LINE,'0.00,'82.10696411
'1,'LINE,'WORKING INTEREST,'99.86318207
'1,'LINE,'Mar 22,'99.76725769
'1,'LINE,'(0.15),'99.92358398
'1,'LINE,'100.60,'97.35124969
'1,'LINE,'(15.19),'99.83575439
'1,'LINE,'0.00258095,'99.30987549
'1,'LINE,'0.00258095,'99.22790527
'1,'LINE,'0.00,'93.88233185
'1,'LINE,'(0.03),'99.95427704
'1,'LINE,"'Producer Deducts: -0.04; Net Price After Deducts: 100.33; Net Price: 91.06; Taxes: -1.40; Net Value: -13.75; Owner Net Value After Ded: -0.03; Owner Net Value: -0.02; PPA: Volume Change, Price",'97.63767242
'1,'LINE,'Change,'99.82238007
'1,'LINE,'PRODUCTION TAX,'99.68598175
'1,'LINE,'Mar 22,'99.61244965
'1,'LINE,'1.40,'99.56159973
'1,'LINE,'0.00258095,'98.44192505
'1,'LINE,'0.00258095,'98.15812683
'1,'LINE,'0.01,'64.79067993
'1,'LINE,'WORKING INTEREST,'99.87334442
'1,'LINE,'Apr 22,'99.64048767
'1,'LINE,'(0.04),'99.98518372
'1,'LINE,'107.38,'98.64871979
'1,'LINE,'(4.51),'99.79804993
'1,'LINE,'0.00258095,'97.42333221
'1,'LINE,'0.00258095,'98.95683289
'1,'LINE,'0.00,'99.77685547
'1,'LINE,'(0.01),'99.89044952
'1,'LINE,'Producer Deducts: -0.48; Net Price After Deducts: 95.95; Net Price: 91.19; Taxes: -0.20; Net Value: -3.83; Owner Net Value After Ded: -0.01; Owner Net Value: -0.01; PPA: Volume Change,'97.86585236
'1,'LINE,'PRODUCTION TAX,'99.55712128
'1,'LINE,'Apr 22,'99.74824524
'1,'LINE,'0.20,'94.96066284
'1,'LINE,'0.00258095,'97.15419006
'1,'LINE,'0.00258095,'99.02175903
'1,'LINE,'0.00,'94.84199524
'1,'LINE,'WORKING INTEREST,'99.92018127
'1,'LINE,'Jun 22,'99.70519257
'1,'LINE,'(0.04),'99.98240662
'1,'LINE,'116.34,'94.37754822
'1,'LINE,'(4.77),'99.89074707
'1,'LINE,'0.00258095,'99.12270355
'1,'LINE,'0.00258095,'99.39186859
'1,'LINE,'0.00,'94.13446808
'1,'LINE,'(0.01),'99.96365356
'1,'LINE,'Producer Deducts: -0.46; Net Price After Deducts: 105.12; Net Price: 99.76; Taxes: -0.22; Net Value: -4.09; Owner Net Value After Ded: -0.01; Owner Net Value: -0.01; PPA: Volume Change,'97.81180573
'1,'LINE,"'Represented Unit of Measure: Gas = MCFs, Plant Products = GALs, Oil = BBLs",'98.39910126
'1,'LINE,'www.energylink.com,'92.41909027
'1,'LINE,"'Generated on Thursday, April 6, 2023 8:17 AM",'98.11698914
'1,'LINE,'Page 1 of 23,'99.66246033
'1,'LINE,'© 2023 Enverus. All rights reserved. Unauthorized use prohibited.,'94.20851135
'2,'LINE,Check Number E420039,'99.06475830
'2,'LINE,Owner 12345678901  Acme Business,'97.89849854
'2,'LINE,'Operator HESS BAKKEN INVESTMENTS II LLC,'96.51204681
'2,'LINE,'Property Values,'99.88451385
'2,'LINE,'Owner Share,'99.87583160
'2,'LINE,'Production,'99.87590790
'2,'LINE,'Owner,'99.96020508
'2,'LINE,'Distribution,'99.89449310
'2,'LINE,'Type,'99.93429565
'2,'LINE,'BTU,'99.91719055
